,,,,,,,,,
,b1e7267d-2884-4416-b3d6-6a669fc4e423,,,,,,,,
,_id,Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
,325,2010,5,201005,Cairns,Sydney,Cairns - Sydney,354,540.2379958
,326,2010,5,201005,Cairns,Townsville,Cairns - Townsville,118,180.0793319
,327,2010,5,201005,Canberra,Melbourne,Canberra - Melbourne,76,115.9832985
,328,2010,5,201005,Canberra,Sydney,Canberra - Sydney,154,235.0187891
,329,2010,5,201005,Coffs Harbour,Sydney,Coffs Harbour - Sydney,210,320.480167
,330,2010,5,201005,Darwin,Melbourne,Darwin - Melbourne,388.95,593.5750522
,331,2010,5,201005,Darwin,Perth,Darwin - Perth,448,683.691023
,332,2010,5,201005,Darwin,Sydney,Darwin - Sydney,418.95,639.3579332
,333,2010,5,201005,Devonport,Melbourne,Devonport - Melbourne,198,302.1670146
,334,2010,5,201005,Dubbo,Sydney,Dubbo - Sydney,248,378.4718163
,335,2010,5,201005,Geraldton,Perth,Geraldton - Perth,313.14,477.8817119
,336,2010,5,201005,Gold Coast,Sydney,Gold Coast - Sydney,56,85.46137787
,337,2010,5,201005,Hamilton Island,Sydney,Hamilton Island - Sydney,318,485.2985386
,338,2010,5,201005,Hervey Bay,Sydney,Hervey Bay - Sydney,250,381.5240084
,339,2010,5,201005,Hobart,Melbourne,Hobart - Melbourne,76,115.9832985
,340,2010,5,201005,Hobart,Sydney,Hobart - Sydney,198,302.1670146
,341,2010,5,201005,Kalgoorlie,Perth,Kalgoorlie - Perth,257.37,392.7713361
,342,2010,5,201005,Karratha,Perth,Karratha - Perth,318.12,485.4816701
,343,2010,5,201005,Launceston,Melbourne,Launceston - Melbourne,73,111.4050104
,344,2010,5,201005,Launceston,Sydney,Launceston - Sydney,229.9,350.8494781
,345,2010,5,201005,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,146,222.8100209
,346,2010,5,201005,Sunshine Coast,Sydney,Sunshine Coast - Sydney,158,241.1231733
,347,2010,5,201005,Melbourne,Gold Coast,Melbourne - Gold Coast,156,238.0709812
,348,2010,5,201005,Melbourne,Mildura,Melbourne - Mildura,198,302.1670146
,349,2010,5,201005,Melbourne,Perth,Melbourne - Perth,126,192.2881002
,350,2010,5,201005,Melbourne,Sydney,Melbourne - Sydney,56,85.46137787
,351,2010,5,201005,Melbourne,Newcastle,Melbourne - Newcastle,144,219.7578288
,352,2010,5,201005,Paraburdoo,Perth,Paraburdoo - Perth,409,624.1732777
,353,2010,5,201005,Perth,Newman,Perth - Newman,378,576.8643006
,354,2010,5,201005,Perth,Port Hedland,Perth - Port Hedland,368,561.6033403
,355,2010,5,201005,Perth,Sydney,Perth - Sydney,328,500.559499
,356,2010,5,201005,Port Macquarie,Sydney,Port Macquarie - Sydney,158,241.1231733
,357,2010,5,201005,Sydney,Tamworth,Sydney - Tamworth,190,289.9582463
,358,2010,5,201005,Sydney,Townsville,Sydney - Townsville,278.95,425.7044885
,359,2010,5,201005,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,326.5845511
,360,2010,5,201005,Newcastle,Gold Coast,Newcastle - Gold Coast,168.95,257.8339248
,361,2010,6,201006,Adelaide,Alice Springs,Adelaide - Alice Springs,524,799.6743215
,362,2010,6,201006,Adelaide,Brisbane,Adelaide - Brisbane,116,177.0271399
,363,2010,6,201006,Adelaide,Canberra,Adelaide - Canberra,258,393.7327766
,364,2010,6,201006,Adelaide,Darwin,Adelaide - Darwin,558,851.5615866
,365,2010,6,201006,Adelaide,Gold Coast,Adelaide - Gold Coast,146,222.8100209
,366,2010,6,201006,Adelaide,Melbourne,Adelaide - Melbourne,56,85.46137787
,367,2010,6,201006,Adelaide,Perth,Adelaide - Perth,348,531.0814196
,368,2010,6,201006,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.65,271.1109603
,369,2010,6,201006,Adelaide,Sydney,Adelaide - Sydney,86,131.2442589
,370,2010,6,201006,Albury,Sydney,Albury - Sydney,170,259.4363257
,371,2010,6,201006,Alice Springs,Darwin,Alice Springs - Darwin,598,912.605428
,372,2010,6,201006,Alice Springs,Melbourne,Alice Springs - Melbourne,276,421.2025052
,373,2010,6,201006,Alice Springs,Sydney,Alice Springs - Sydney,728,1110.997912
,374,2010,6,201006,Avalon,Brisbane,Avalon - Brisbane,158,241.1231733
,375,2010,6,201006,Avalon,Sydney,Avalon - Sydney,88,134.2964509
,376,2010,6,201006,Ayers Rock,Cairns,Ayers Rock - Cairns,748,1141.519833
,377,2010,6,201006,Ayers Rock,Sydney,Ayers Rock - Sydney,714,1089.632568
,378,2010,6,201006,Ballina,Sydney,Ballina - Sydney,158,241.1231733
,379,2010,6,201006,Brisbane,Cairns,Brisbane - Cairns,298,454.776618
,380,2010,6,201006,Brisbane,Canberra,Brisbane - Canberra,235,358.6325678
,381,2010,6,201006,Brisbane,Darwin,Brisbane - Darwin,568,866.822547
,382,2010,6,201006,Brisbane,Emerald,Brisbane - Emerald,316,482.2463466
,383,2010,6,201006,Brisbane,Gladstone,Brisbane - Gladstone,182,277.7494781
,384,2010,6,201006,Brisbane,Hamilton Island,Brisbane - Hamilton Island,178,271.6450939
,385,2010,6,201006,Brisbane,Mackay,Brisbane - Mackay,148,225.8622129
,386,2010,6,201006,Brisbane,Melbourne,Brisbane - Melbourne,116,177.0271399
,387,2010,6,201006,Brisbane,Mount Isa,Brisbane - Mount Isa,544,830.1962422
,388,2010,6,201006,Brisbane,Perth,Brisbane - Perth,648,988.9102296
,389,2010,6,201006,Brisbane,Proserpine,Brisbane - Proserpine,138,210.6012526
,390,2010,6,201006,Brisbane,Rockhampton,Brisbane - Rockhampton,56,85.46137787
,391,2010,6,201006,Brisbane,Sydney,Brisbane - Sydney,130,198.3924843
,392,2010,6,201006,Brisbane,Townsville,Brisbane - Townsville,228,347.9498956
,393,2010,6,201006,Brisbane,Newcastle,Brisbane - Newcastle,88,134.2964509
,394,2010,6,201006,Broome,Perth,Broome - Perth,368,561.6033403
,395,2010,6,201006,Bundaberg,Brisbane,Bundaberg - Brisbane,210,320.480167
,396,2010,6,201006,Cairns,Melbourne,Cairns - Melbourne,498,759.9958246
,397,2010,6,201006,Cairns,Sydney,Cairns - Sydney,408,622.6471816
,398,2010,6,201006,Cairns,Townsville,Cairns - Townsville,118,180.0793319
,399,2010,6,201006,Canberra,Melbourne,Canberra - Melbourne,86,131.2442589
,400,2010,6,201006,Canberra,Sydney,Canberra - Sydney,154,235.0187891
,401,2010,6,201006,Coffs Harbour,Sydney,Coffs Harbour - Sydney,154,235.0187891
,402,2010,6,201006,Darwin,Melbourne,Darwin - Melbourne,458,698.9519833
,403,2010,6,201006,Darwin,Perth,Darwin - Perth,548,836.3006263
,404,2010,6,201006,Darwin,Sydney,Darwin - Sydney,498,759.9958246
,405,2010,6,201006,Devonport,Melbourne,Devonport - Melbourne,239,364.736952
,406,2010,6,201006,Dubbo,Sydney,Dubbo - Sydney,249.42,380.6388727
,407,2010,6,201006,Geraldton,Perth,Geraldton - Perth,316.99,483.7571816
,408,2010,6,201006,Gold Coast,Sydney,Gold Coast - Sydney,106,161.7661795
,409,2010,6,201006,Hamilton Island,Sydney,Hamilton Island - Sydney,278,424.2546973
,410,2010,6,201006,Hervey Bay,Sydney,Hervey Bay - Sydney,264,402.8893528
,411,2010,6,201006,Hobart,Melbourne,Hobart - Melbourne,56,85.46137787
,412,2010,6,201006,Hobart,Sydney,Hobart - Sydney,198,302.1670146
,413,2010,6,201006,Kalgoorlie,Perth,Kalgoorlie - Perth,261.22,398.6468058
,414,2010,6,201006,Karratha,Perth,Karratha - Perth,321.97,491.3571399
,415,2010,6,201006,Launceston,Melbourne,Launceston - Melbourne,56,85.46137787
,416,2010,6,201006,Launceston,Sydney,Launceston - Sydney,158,241.1231733
,417,2010,6,201006,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196,299.1148225
,418,2010,6,201006,Sunshine Coast,Sydney,Sunshine Coast - Sydney,178,271.6450939
,419,2010,6,201006,Melbourne,Gold Coast,Melbourne - Gold Coast,128,195.3402923
,420,2010,6,201006,Melbourne,Mildura,Melbourne - Mildura,124,189.2359081
,421,2010,6,201006,Melbourne,Perth,Melbourne - Perth,486,741.6826722
,422,2010,6,201006,Melbourne,Sydney,Melbourne - Sydney,116,177.0271399
,423,2010,6,201006,Melbourne,Newcastle,Melbourne - Newcastle,150,228.914405
,424,2010,6,201006,Paraburdoo,Perth,Paraburdoo - Perth,429,654.6951983
,425,2010,6,201006,Perth,Newman,Perth - Newman,350,534.1336117
,426,2010,6,201006,Perth,Port Hedland,Perth - Port Hedland,398,607.3862213
,427,2010,6,201006,Perth,Sydney,Perth - Sydney,379,578.3903967
,428,2010,6,201006,Port Macquarie,Sydney,Port Macquarie - Sydney,158,241.1231733
,429,2010,6,201006,Sydney,Tamworth,Sydney - Tamworth,230,351.0020877
,430,2010,6,201006,Sydney,Townsville,Sydney - Townsville,318,485.2985386
,431,2010,6,201006,Sydney,Wagga Wagga,Sydney - Wagga Wagga,216.11,329.8046138
,432,2010,6,201006,Newcastle,Gold Coast,Newcastle - Gold Coast,138,210.6012526
,433,2010,7,201007,Adelaide,Alice Springs,Adelaide - Alice Springs,479,725.6974093
,434,2010,7,201007,Adelaide,Brisbane,Adelaide - Brisbane,136,206.0435233
,435,2010,7,201007,Adelaide,Canberra,Adelaide - Canberra,258,390.8766839
,436,2010,7,201007,Adelaide,Darwin,Adelaide - Darwin,558,845.384456
,437,2010,7,201007,Adelaide,Gold Coast,Adelaide - Gold Coast,136,206.0435233
,438,2010,7,201007,Adelaide,Melbourne,Adelaide - Melbourne,77.9,118.0205181
,439,2010,7,201007,Adelaide,Perth,Adelaide - Perth,308,466.6279793
,440,2010,7,201007,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.65,269.1443523
,441,2010,7,201007,Adelaide,Sydney,Adelaide - Sydney,76,115.1419689
,442,2010,7,201007,Albury,Sydney,Albury - Sydney,186.61,282.7189845
,443,2010,7,201007,Alice Springs,Darwin,Alice Springs - Darwin,867,1313.527461
,444,2010,7,201007,Alice Springs,Melbourne,Alice Springs - Melbourne,296,448.4476684
,445,2010,7,201007,Alice Springs,Sydney,Alice Springs - Sydney,778,1178.690155
,446,2010,7,201007,Avalon,Brisbane,Avalon - Brisbane,178,269.6746114
,447,2010,7,201007,Avalon,Sydney,Avalon - Sydney,118,178.773057
,448,2010,7,201007,Ayers Rock,Cairns,Ayers Rock - Cairns,748,1133.239378
,449,2010,7,201007,Ayers Rock,Sydney,Ayers Rock - Sydney,794,1202.93057
,450,2010,7,201007,Ballina,Sydney,Ballina - Sydney,128,193.9233161
,451,2010,7,201007,Brisbane,Cairns,Brisbane - Cairns,250,378.7564767
,452,2010,7,201007,Brisbane,Canberra,Brisbane - Canberra,218,330.2756477
,453,2010,7,201007,Brisbane,Darwin,Brisbane - Darwin,408,618.1305699
,454,2010,7,201007,Brisbane,Emerald,Brisbane - Emerald,246,372.6963731
,455,2010,7,201007,Brisbane,Gladstone,Brisbane - Gladstone,178,269.6746114
,456,2010,7,201007,Brisbane,Hamilton Island,Brisbane - Hamilton Island,148,224.2238342
,457,2010,7,201007,Brisbane,Mackay,Brisbane - Mackay,128,193.9233161
,458,2010,7,201007,Brisbane,Melbourne,Brisbane - Melbourne,97.9,148.3210363
,459,2010,7,201007,Brisbane,Mount Isa,Brisbane - Mount Isa,544,824.1740933
,460,2010,7,201007,Brisbane,Perth,Brisbane - Perth,458,693.8818653
,461,2010,7,201007,Brisbane,Proserpine,Brisbane - Proserpine,188,284.8248705
,462,2010,7,201007,Brisbane,Rockhampton,Brisbane - Rockhampton,77.9,118.0205181
,463,2010,7,201007,Brisbane,Sydney,Brisbane - Sydney,148,224.2238342
,464,2010,7,201007,Brisbane,Townsville,Brisbane - Townsville,218,330.2756477
,465,2010,7,201007,Brisbane,Newcastle,Brisbane - Newcastle,98,148.4725389
,466,2010,7,201007,Broome,Perth,Broome - Perth,397,601.465285
,467,2010,7,201007,Bundaberg,Brisbane,Bundaberg - Brisbane,170,257.5544041
,468,2010,7,201007,Cairns,Melbourne,Cairns - Melbourne,428,648.4310881
,469,2010,7,201007,Cairns,Sydney,Cairns - Sydney,327,495.4134715
,470,2010,7,201007,Cairns,Townsville,Cairns - Townsville,138,209.0735751
,471,2010,7,201007,Canberra,Melbourne,Canberra - Melbourne,77.9,118.0205181
,472,2010,7,201007,Canberra,Sydney,Canberra - Sydney,158,239.3740933
,473,2010,7,201007,Coffs Harbour,Sydney,Coffs Harbour - Sydney,178,269.6746114
,474,2010,7,201007,Darwin,Melbourne,Darwin - Melbourne,296,448.4476684
,475,2010,7,201007,Darwin,Perth,Darwin - Perth,458,693.8818653
,476,2010,7,201007,Darwin,Sydney,Darwin - Sydney,558,845.384456
,477,2010,7,201007,Devonport,Melbourne,Devonport - Melbourne,239,362.0911917
,478,2010,7,201007,Dubbo,Sydney,Dubbo - Sydney,249.42,377.8777617
,479,2010,7,201007,Geraldton,Perth,Geraldton - Perth,316.99,480.2480622
,480,2010,7,201007,Gold Coast,Sydney,Gold Coast - Sydney,87.9,133.1707772
,481,2010,7,201007,Hamilton Island,Sydney,Hamilton Island - Sydney,318,481.7782383
,482,2010,7,201007,Hervey Bay,Sydney,Hervey Bay - Sydney,228,345.4259067
,483,2010,7,201007,Hobart,Melbourne,Hobart - Melbourne,57.9,87.72
,484,2010,7,201007,Hobart,Sydney,Hobart - Sydney,168,254.5243523
,485,2010,7,201007,Kalgoorlie,Perth,Kalgoorlie - Perth,375,568.134715
,486,2010,7,201007,Karratha,Perth,Karratha - Perth,321.97,487.7928912
,487,2010,7,201007,Launceston,Melbourne,Launceston - Melbourne,57.9,87.72
,488,2010,7,201007,Launceston,Sydney,Launceston - Sydney,168,254.5243523
,489,2010,7,201007,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,136.95,207.4827979
,490,2010,7,201007,Sunshine Coast,Sydney,Sunshine Coast - Sydney,118,178.773057
,491,2010,7,201007,Melbourne,Gold Coast,Melbourne - Gold Coast,107.9,163.4712953
,492,2010,7,201007,Melbourne,Mildura,Melbourne - Mildura,224.27,339.7748601
,493,2010,7,201007,Melbourne,Perth,Melbourne - Perth,296,448.4476684
,494,2010,7,201007,Melbourne,Sydney,Melbourne - Sydney,56,84.84145078
,495,2010,7,201007,Melbourne,Newcastle,Melbourne - Newcastle,138,209.0735751
,496,2010,7,201007,Paraburdoo,Perth,Paraburdoo - Perth,409,619.6455959
,497,2010,7,201007,Perth,Newman,Perth - Newman,350,530.2590674
,498,2010,7,201007,Perth,Port Hedland,Perth - Port Hedland,316,478.7481865
,499,2010,7,201007,Perth,Sydney,Perth - Sydney,388,587.8300518
,500,2010,7,201007,Port Macquarie,Sydney,Port Macquarie - Sydney,158,239.3740933
,501,2010,7,201007,Sydney,Tamworth,Sydney - Tamworth,198,299.9751295
,502,2010,7,201007,Sydney,Townsville,Sydney - Townsville,278,421.1772021
,503,2010,7,201007,Sydney,Wagga Wagga,Sydney - Wagga Wagga,216.11,327.4122487
,504,2010,7,201007,Newcastle,Gold Coast,Newcastle - Gold Coast,138,209.0735751
,505,2010,8,201008,Adelaide,Alice Springs,Adelaide - Alice Springs,508,769.6331606
,506,2010,8,201008,Adelaide,Brisbane,Adelaide - Brisbane,111.19,168.4557306
,507,2010,8,201008,Adelaide,Canberra,Adelaide - Canberra,248,375.7264249
,508,2010,8,201008,Adelaide,Darwin,Adelaide - Darwin,408,618.1305699
,509,2010,8,201008,Adelaide,Gold Coast,Adelaide - Gold Coast,164.2,248.7672539
,510,2010,8,201008,Adelaide,Melbourne,Adelaide - Melbourne,61.76,93.568
,511,2010,8,201008,Adelaide,Perth,Adelaide - Perth,288,436.3274611
,512,2010,8,201008,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.65,269.1443523
,513,2010,8,201008,Adelaide,Sydney,Adelaide - Sydney,86.24,130.6558342
,514,2010,8,201008,Albury,Sydney,Albury - Sydney,186.81,283.0219896
,515,2010,8,201008,Alice Springs,Darwin,Alice Springs - Darwin,677,1025.672539
,516,2010,8,201008,Alice Springs,Melbourne,Alice Springs - Melbourne,200.58,303.8838964
,517,2010,8,201008,Alice Springs,Sydney,Alice Springs - Sydney,740,1121.119171
,518,2010,8,201008,Avalon,Brisbane,Avalon - Brisbane,158,239.3740933
,519,2010,8,201008,Avalon,Sydney,Avalon - Sydney,88,133.3222798
,520,2010,8,201008,Ayers Rock,Cairns,Ayers Rock - Cairns,718,1087.788601
,521,2010,8,201008,Ayers Rock,Sydney,Ayers Rock - Sydney,627,949.9212435
,522,2010,8,201008,Ballina,Sydney,Ballina - Sydney,168,254.5243523
,523,2010,8,201008,Brisbane,Cairns,Brisbane - Cairns,278,421.1772021
,524,2010,8,201008,Brisbane,Canberra,Brisbane - Canberra,228,345.4259067
,525,2010,8,201008,Brisbane,Darwin,Brisbane - Darwin,358,542.3792746
,526,2010,8,201008,Brisbane,Emerald,Brisbane - Emerald,290,439.357513
,527,2010,8,201008,Brisbane,Gladstone,Brisbane - Gladstone,233,353.0010363
,528,2010,8,201008,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,239.3740933
,529,2010,8,201008,Brisbane,Mackay,Brisbane - Mackay,148,224.2238342
,530,2010,8,201008,Brisbane,Melbourne,Brisbane - Melbourne,117.09,177.3943834
,531,2010,8,201008,Brisbane,Mount Isa,Brisbane - Mount Isa,600,909.015544
,532,2010,8,201008,Brisbane,Perth,Brisbane - Perth,458,693.8818653
,533,2010,8,201008,Brisbane,Proserpine,Brisbane - Proserpine,138,209.0735751
,534,2010,8,201008,Brisbane,Rockhampton,Brisbane - Rockhampton,59.18,89.65923316
,535,2010,8,201008,Brisbane,Sydney,Brisbane - Sydney,148,224.2238342
,536,2010,8,201008,Brisbane,Townsville,Brisbane - Townsville,208,315.1253886
,537,2010,8,201008,Brisbane,Newcastle,Brisbane - Newcastle,118,178.773057
,538,2010,8,201008,Broome,Perth,Broome - Perth,466,706.0020725
,539,2010,8,201008,Bundaberg,Brisbane,Bundaberg - Brisbane,217,328.7606218
,540,2010,8,201008,Cairns,Melbourne,Cairns - Melbourne,488,739.3326425
,541,2010,8,201008,Cairns,Sydney,Cairns - Sydney,397,601.465285
,542,2010,8,201008,Cairns,Townsville,Cairns - Townsville,138,209.0735751
,543,2010,8,201008,Canberra,Melbourne,Canberra - Melbourne,87.31,132.2769119
,544,2010,8,201008,Canberra,Sydney,Canberra - Sydney,158,239.3740933
,545,2010,8,201008,Coffs Harbour,Sydney,Coffs Harbour - Sydney,190,287.8549223
,546,2010,8,201008,Darwin,Melbourne,Darwin - Melbourne,192.88,292.2181969
,547,2010,8,201008,Darwin,Perth,Darwin - Perth,478,724.1823834
,548,2010,8,201008,Darwin,Sydney,Darwin - Sydney,438,663.5813472
,549,2010,8,201008,Devonport,Melbourne,Devonport - Melbourne,246,372.6963731
,550,2010,8,201008,Dubbo,Sydney,Dubbo - Sydney,249.42,377.8777617
,551,2010,8,201008,Geraldton,Perth,Geraldton - Perth,316.99,480.2480622
,552,2010,8,201008,Gold Coast,Sydney,Gold Coast - Sydney,121.26,183.7120415
,553,2010,8,201008,Hamilton Island,Sydney,Hamilton Island - Sydney,348,527.2290155
,554,2010,8,201008,Hervey Bay,Sydney,Hervey Bay - Sydney,244,369.6663212
,555,2010,8,201008,Hobart,Melbourne,Hobart - Melbourne,93.15,141.1246632
,556,2010,8,201008,Hobart,Sydney,Hobart - Sydney,188,284.8248705
,557,2010,8,201008,Kalgoorlie,Perth,Kalgoorlie - Perth,361,546.9243523
,558,2010,8,201008,Karratha,Perth,Karratha - Perth,321.97,487.7928912
,559,2010,8,201008,Launceston,Melbourne,Launceston - Melbourne,138,209.0735751
,560,2010,8,201008,Launceston,Sydney,Launceston - Sydney,178,269.6746114
,561,2010,8,201008,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,165.41,250.6004352
,562,2010,8,201008,Sunshine Coast,Sydney,Sunshine Coast - Sydney,198,299.9751295
,563,2010,8,201008,Melbourne,Gold Coast,Melbourne - Gold Coast,128.74,195.0444352
,564,2010,8,201008,Melbourne,Mildura,Melbourne - Mildura,197.87,299.7781762
,565,2010,8,201008,Melbourne,Perth,Melbourne - Perth,277.9,421.0256995
,566,2010,8,201008,Melbourne,Sydney,Melbourne - Sydney,76.85,116.4297409
,567,2010,8,201008,Melbourne,Newcastle,Melbourne - Newcastle,108,163.6227979
,568,2010,8,201008,Paraburdoo,Perth,Paraburdoo - Perth,416,630.2507772
,569,2010,8,201008,Perth,Newman,Perth - Newman,358,542.3792746
,570,2010,8,201008,Perth,Port Hedland,Perth - Port Hedland,358,542.3792746
,571,2010,8,201008,Perth,Sydney,Perth - Sydney,378,572.6797927
,572,2010,8,201008,Port Macquarie,Sydney,Port Macquarie - Sydney,158,239.3740933
,573,2010,8,201008,Sydney,Tamworth,Sydney - Tamworth,204,309.065285
,574,2010,8,201008,Sydney,Townsville,Sydney - Townsville,274,415.1170984
,575,2010,8,201008,Sydney,Wagga Wagga,Sydney - Wagga Wagga,216.11,327.4122487
,576,2010,8,201008,Newcastle,Gold Coast,Newcastle - Gold Coast,138,209.0735751
,577,2010,9,201009,Adelaide,Alice Springs,Adelaide - Alice Springs,539,816.5989637
,578,2010,9,201009,Adelaide,Brisbane,Adelaide - Brisbane,197.9,299.8236269
,579,2010,9,201009,Adelaide,Canberra,Adelaide - Canberra,297,449.9626943
,580,2010,9,201009,Adelaide,Darwin,Adelaide - Darwin,468,709.0321244
,581,2010,9,201009,Adelaide,Gold Coast,Adelaide - Gold Coast,247.9,375.5749223
,582,2010,9,201009,Adelaide,Melbourne,Adelaide - Melbourne,107.9,163.4712953
,583,2010,9,201009,Adelaide,Perth,Adelaide - Perth,328,496.9284974
,584,2010,9,201009,Adelaide,Port Lincoln,Adelaide - Port Lincoln,182.05,275.8104663
,585,2010,9,201009,Adelaide,Sydney,Adelaide - Sydney,127.9,193.7718135
,586,2010,9,201009,Albury,Sydney,Albury - Sydney,172,260.584456
,587,2010,9,201009,Alice Springs,Darwin,Alice Springs - Darwin,610,924.1658031
,588,2010,9,201009,Alice Springs,Melbourne,Alice Springs - Melbourne,457.9,693.7303627
,589,2010,9,201009,Alice Springs,Sydney,Alice Springs - Sydney,658,996.8870466
,590,2010,9,201009,Avalon,Brisbane,Avalon - Brisbane,218,330.2756477
,591,2010,9,201009,Avalon,Sydney,Avalon - Sydney,88,133.3222798
,592,2010,9,201009,Ayers Rock,Cairns,Ayers Rock - Cairns,769,1165.054922
,593,2010,9,201009,Ayers Rock,Sydney,Ayers Rock - Sydney,495,749.9378238
,594,2010,9,201009,Ballina,Sydney,Ballina - Sydney,248,375.7264249
,595,2010,9,201009,Brisbane,Cairns,Brisbane - Cairns,278,421.1772021
,596,2010,9,201009,Brisbane,Canberra,Brisbane - Canberra,176,266.6445596
,597,2010,9,201009,Brisbane,Darwin,Brisbane - Darwin,358,542.3792746
,598,2010,9,201009,Brisbane,Emerald,Brisbane - Emerald,328,496.9284974
,599,2010,9,201009,Brisbane,Gladstone,Brisbane - Gladstone,233,353.0010363
,600,2010,9,201009,Brisbane,Hamilton Island,Brisbane - Hamilton Island,358,542.3792746
,601,2010,9,201009,Brisbane,Mackay,Brisbane - Mackay,148,224.2238342
,602,2010,9,201009,Brisbane,Melbourne,Brisbane - Melbourne,217.9,330.1241451
,603,2010,9,201009,Brisbane,Mount Isa,Brisbane - Mount Isa,613,928.7108808
,604,2010,9,201009,Brisbane,Perth,Brisbane - Perth,537,813.5689119
,605,2010,9,201009,Brisbane,Proserpine,Brisbane - Proserpine,208,315.1253886
,606,2010,9,201009,Brisbane,Rockhampton,Brisbane - Rockhampton,57.9,87.72
,607,2010,9,201009,Brisbane,Sydney,Brisbane - Sydney,158,239.3740933
,608,2010,9,201009,Brisbane,Townsville,Brisbane - Townsville,238,360.5761658
,609,2010,9,201009,Brisbane,Newcastle,Brisbane - Newcastle,118,178.773057
,610,2010,9,201009,Broome,Perth,Broome - Perth,407,616.615544
,611,2010,9,201009,Bundaberg,Brisbane,Bundaberg - Brisbane,217,328.7606218
,612,2010,9,201009,Cairns,Melbourne,Cairns - Melbourne,668,1012.037306
,613,2010,9,201009,Cairns,Sydney,Cairns - Sydney,468,709.0321244
,614,2010,9,201009,Cairns,Townsville,Cairns - Townsville,194,293.9150259
,615,2010,9,201009,Canberra,Melbourne,Canberra - Melbourne,117.95,178.6973057
,616,2010,9,201009,Canberra,Sydney,Canberra - Sydney,178,269.6746114
,617,2010,9,201009,Coffs Harbour,Sydney,Coffs Harbour - Sydney,224,339.3658031
,618,2010,9,201009,Darwin,Melbourne,Darwin - Melbourne,327.9,496.7769948
,619,2010,9,201009,Darwin,Perth,Darwin - Perth,498,754.4829016
,620,2010,9,201009,Darwin,Sydney,Darwin - Sydney,508,769.6331606
