,,,,,,,,,
,b1e7267d-2884-4416-b3d6-6a669fc4e423,,,,,,,,
,_id,Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
,153,2010,3,201003,Albury,Sydney,Albury - Sydney,174,267.2142857
,154,2010,3,201003,Alice Springs,Darwin,Alice Springs - Darwin,428,657.2857143
,155,2010,3,201003,Alice Springs,Melbourne,Alice Springs - Melbourne,226,347.0714286
,156,2010,3,201003,Alice Springs,Sydney,Alice Springs - Sydney,498,764.7857143
,157,2010,3,201003,Avalon,Brisbane,Avalon - Brisbane,278,426.9285714
,158,2010,3,201003,Avalon,Sydney,Avalon - Sydney,98,150.5
,159,2010,3,201003,Ayers Rock,Cairns,Ayers Rock - Cairns,698,1071.928571
,160,2010,3,201003,Ayers Rock,Sydney,Ayers Rock - Sydney,714,1096.5
,161,2010,3,201003,Ballina,Sydney,Ballina - Sydney,188,288.7142857
,162,2010,3,201003,Brisbane,Cairns,Brisbane - Cairns,258,396.2142857
,163,2010,3,201003,Brisbane,Canberra,Brisbane - Canberra,193,296.3928571
,164,2010,3,201003,Brisbane,Darwin,Brisbane - Darwin,274,420.7857143
,165,2010,3,201003,Brisbane,Emerald,Brisbane - Emerald,316,485.2857143
,166,2010,3,201003,Brisbane,Gladstone,Brisbane - Gladstone,218,334.7857143
,167,2010,3,201003,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,211.9285714
,168,2010,3,201003,Brisbane,Hobart,Brisbane - Hobart,608,933.7142857
,169,2010,3,201003,Brisbane,Mackay,Brisbane - Mackay,144,221.1428571
,170,2010,3,201003,Brisbane,Melbourne,Brisbane - Melbourne,228,350.1428571
,171,2010,3,201003,Brisbane,Mount Isa,Brisbane - Mount Isa,544,835.4285714
,172,2010,3,201003,Brisbane,Perth,Brisbane - Perth,558,856.9285714
,173,2010,3,201003,Brisbane,Proserpine,Brisbane - Proserpine,198,304.0714286
,174,2010,3,201003,Brisbane,Rockhampton,Brisbane - Rockhampton,108,165.8571429
,175,2010,3,201003,Brisbane,Sydney,Brisbane - Sydney,148,227.2857143
,176,2010,3,201003,Brisbane,Townsville,Brisbane - Townsville,298,457.6428571
,177,2010,3,201003,Brisbane,Newcastle,Brisbane - Newcastle,78,119.7857143
,178,2010,3,201003,Broome,Perth,Broome - Perth,304,466.8571429
,179,2010,3,201003,Bundaberg,Brisbane,Bundaberg - Brisbane,320,491.4285714
,180,2010,3,201003,Cairns,Melbourne,Cairns - Melbourne,358,549.7857143
